web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,14/04/2023,22/04/2023,28/04/2023,571,571,,358544,0.0,Résidence ARAVIS B18,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,804,804,,358444,0.0,Résidence ROSE DE NOEL 145,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,923,923,,358424,0.0,Résidence RESSE,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,783,783,,358364,0.0,Résidence PARNASSE 2-203,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,923,923,,358344,0.0,Résidence NEIGE ET ROC 2,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1066,1066,,358314,0.0,Résidence GENTIANES 4,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,811,811,,358294,2.0,Résidence GENTIANES 3 BIS,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,990,990,,358244,0.0,Résidence ELAN 7,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,1066,1066,,358214,4.0,Résidence CRYSTAL 25,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,783,783,,358204,0.0,Résidence CRYSTAL 15,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,749,749,,358124,0.0,Résidence BIBLOS 15,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
,14/04/2023,22/04/2023,28/04/2023,923,923,,357924,0.0,Résidence GENTIANES 3,La Clusaz - Haute Savoie,,16,"('38',)",LA CLUSAZ
