web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines 
1691209603-1061,27/03/2023,25/04/2023,02/05/2023,472,472,Chambre Lits Jumeaux,,ibis budget Albertville,Gilly-sur-Isère,,17
1691209603-1062,27/03/2023,25/04/2023,02/05/2023,652,652,Chambre Double Standard,,Brit Hotel Florimont,Saint-Ferréol,,17
1691209603-1063,27/03/2023,25/04/2023,02/05/2023,1256,1256,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,17
1691209603-1064,27/03/2023,25/04/2023,02/05/2023,551,551,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,17
1691209603-1065,27/03/2023,25/04/2023,02/05/2023,1359,1359,Chambre Familiale avec Balcon,,Hotel La Montagne,La Clusaz,,17
1691209603-1066,27/03/2023,25/04/2023,02/05/2023,1238,1238,Chambre Double avec Balcon,,Hotel Beauregard,La Clusaz,,17
1691209603-1067,27/03/2023,25/04/2023,02/05/2023,877,877,Chambre Triple - Aravis,,Chalet Les Rhodos,Cordon,,17
1691209603-1068,27/03/2023,25/04/2023,02/05/2023,546,546,Chambre Double Économique,,Hotel Christiania,La Clusaz,,17
1691209603-1069,27/03/2023,25/04/2023,02/05/2023,1088,1088,Chambre Double Supérieure avec Fauteuil Convertible Simple,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,17
1691209603-1070,27/03/2023,25/04/2023,02/05/2023,608,608,Chambre Double Classique,,Hôtel Val d'Este,Saint-Gervais-les-Bains,,17
1691209603-1071,27/03/2023,25/04/2023,02/05/2023,1119,1119,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,17
1691209603-1072,27/03/2023,25/04/2023,02/05/2023,1288,1288,Petite Chambre Double,,Coeur des Neiges,Saint-Gervais-les-Bains,,17
1691209603-1073,27/03/2023,25/04/2023,02/05/2023,713,713,Chambre Double - Versant Nord,,Base Camp Lodge Hotels,Bourg-Saint-Maurice,,17
1691209603-1074,27/03/2023,25/04/2023,02/05/2023,620,620,Chambre Triple – Vue sur Montagne,,Chalet Les Pieux,Crest-Voland,,17
